timestamp,T_out_C,HDH_degC_h,CDH_degC_h,q_heating_W,q_cooling_W,q_heating_kW,q_cooling_kW,COP_t,EER_t,P_heat_elec_kW,P_cool_elec_kW,P_HP_total_kW
2025-01-01 00:00:00,-1.1097546,12.867516936473569,0.0,171922.765113054,0.0,171.922765113054,0.0,2.4245219961893976,8.0,70.90996302910993,0.0,70.90996302910993
2025-01-01 01:00:00,-1.2997546,13.057516936473569,0.0,174461.35321305398,0.0,174.461353213054,0.0,2.4127750194305273,8.0,72.30734395378109,0.0,72.30734395378109
2025-01-01 02:00:00,-1.5297545,13.287516836473568,0.0,177534.37957695496,0.0,177.53437957695496,0.0,2.3990364868790914,8.0,74.00236742872951,0.0,74.00236742872951
2025-01-01 03:00:00,-1.5997547,13.357517036473569,0.0,178469.65154915297,0.0,178.46965154915299,0.0,2.394955772431063,8.0,74.51897592580286,0.0,74.51897592580286
2025-01-01 04:00:00,-1.2197546,12.977516936473569,0.0,173392.474013054,0.0,173.392474013054,0.0,2.4176759862162807,8.0,71.71865667757129,0.0,71.71865667757129
2025-01-01 05:00:00,-0.87975454,12.637516876473569,0.0,168849.7366113946,0.0,168.84973661139458,0.0,2.4392567249453263,7.999056200253508,69.22179813409316,0.0,69.22179813409316
2025-01-01 06:00:00,-0.04975462,11.807516956473568,0.0,157760.11598027378,0.0,157.76011598027378,0.0,2.498041211785541,7.7622735289098035,63.15352814676367,0.0,63.15352814676367
2025-01-01 07:00:00,-0.07975459,11.837516926473569,0.0,158160.94527944407,0.0,158.16094527944406,0.0,2.495735538790774,7.770710962219233,63.372477901274635,0.0,63.372477901274635
2025-01-01 08:00:00,0.4502454,11.307516936473569,0.0,151079.62071305397,0.0,151.07962071305397,0.0,2.5390114985176497,7.622971094394634,59.50332277000665,0.0,59.50332277000665
2025-01-01 09:00:00,2.2002454,9.557516936473569,0.0,127697.88821305399,0.0,127.69788821305399,0.0,2.7433153631551286,7.154690477316887,46.54874533498282,0.0,46.54874533498282
2025-01-01 10:00:00,4.1402454,7.617516936473568,0.0,101777.56761305398,0.0,101.77756761305398,0.0,3.124999475585696,6.669416478104247,32.56882710163609,0.0,32.56882710163609
2025-01-01 11:00:00,5.8302455,5.927516836473568,0.0,79197.49317695499,0.0,79.19749317695499,0.0,3.413189472964553,6.274364712816192,23.203368522101815,0.0,23.203368522101815
2025-01-01 12:00:00,7.380245,4.377517336473568,0.0,58487.96535744998,0.0,58.48796535744998,0.0,3.72356981660922,5.9336638421136065,15.707497975883435,0.0,15.707497975883435
2025-01-01 13:00:00,8.380245,3.377517336473568,0.0,45126.97535744998,0.0,45.12697535744998,0.0,3.9859387000843536,5.724404500762404,11.321542741361016,0.0,11.321542741361016
2025-01-01 14:00:00,8.510245,3.247517336473569,0.0,43390.046657449995,0.0,43.39004665744999,0.0,4.025281437864978,5.697792671547887,10.779382094699995,0.0,10.779382094699995
2025-01-01 15:00:00,7.500245,4.257517336473569,0.0,56884.64655744999,0.0,56.88464655744999,0.0,3.751772052066162,5.908122974496102,15.16207428596913,0.0,15.16207428596913
2025-01-01 16:00:00,5.4702454,6.287516936473569,0.0,84007.450913054,0.0,84.007450913054,0.0,3.350401935397982,6.356419490370913,25.07384264123375,0.0,25.07384264123375
2025-01-01 17:00:00,4.7002454,7.057516936473569,0.0,94295.41321305398,0.0,94.29541321305398,0.0,3.2201650116847267,6.535719104320821,29.282789195861884,0.0,29.282789195861884
2025-01-01 18:00:00,4.3302455,7.427516836473568,0.0,99238.97817695499,0.0,99.23897817695499,0.0,3.15757768570212,6.6237403812974405,31.428831862576384,0.0,31.428831862576384
2025-01-01 19:00:00,4.2102456,7.547516736473568,0.0,100842.29564085598,0.0,100.84229564085598,0.0,3.137049387433155,6.652550663866448,32.145587520816406,0.0,32.145587520816406
2025-01-01 20:00:00,3.9902453,7.767517036473569,0.0,103781.71744915299,0.0,103.78171744915299,0.0,3.0989571682390533,6.705706139977986,33.48923906170854,0.0,33.48923906170854
2025-01-01 21:00:00,4.1202455,7.637516836473568,0.0,102044.78607695499,0.0,102.04478607695499,0.0,3.1215453404616533,6.67424334638573,32.69047056733231,0.0,32.69047056733231
2025-01-01 22:00:00,5.0902452,6.667517136473569,0.0,89084.62978525198,0.0,89.08462978525198,0.0,3.285782479482263,6.444254526343958,27.112150710380845,0.0,27.112150710380845
2025-01-01 23:00:00,5.230245,6.527517336473569,0.0,87214.09385744999,0.0,87.21409385745,0.0,3.309455507858124,6.411747535907193,26.35300388549259,0.0,26.35300388549259
2025-01-02 00:00:00,5.610245,6.147517336473569,0.0,82136.91765744999,0.0,82.13691765744998,0.0,3.3745867849414513,6.324376233239976,24.339844517845183,0.0,24.339844517845183
2025-01-02 01:00:00,5.900245,5.857517336473569,0.0,78262.23055744999,0.0,78.26223055745,0.0,3.4256535064781075,6.258539524843627,22.84592718132515,0.0,22.84592718132515
2025-01-02 02:00:00,6.2202454,5.537516936473569,0.0,73986.70841305399,0.0,73.98670841305399,0.0,3.4839992063206853,6.1867295916801535,21.23614387707868,0.0,21.23614387707868
2025-01-02 03:00:00,6.7402453,5.017517036473569,0.0,67038.99494915298,0.0,67.03899494915298,0.0,3.5849486535577166,6.071893084125359,18.70012695513037,0.0,18.70012695513037
2025-01-02 04:00:00,7.3002453,4.457517036473568,0.0,59556.84054915298,0.0,59.55684054915298,0.0,3.705191879950365,5.950756827323709,16.07388833799096,0.0,16.07388833799096
2025-01-02 05:00:00,7.6202455,4.137516836473568,0.0,55281.321076954984,0.0,55.28132107695498,0.0,3.7807747183806866,5.882700080349016,14.62169137140022,0.0,14.62169137140022
2025-01-02 06:00:00,7.630245,4.127517336473568,0.0,55147.71785744998,0.0,55.147717857449976,0.0,3.783228960121474,5.880586937288306,14.57689144346137,0.0,14.57689144346137
2025-01-02 07:00:00,8.030246,3.7275163364735686,0.0,49803.308496459984,0.0,49.803308496459984,0.0,3.886507309934581,5.796724057888098,12.814412665365163,0.0,12.814412665365163
2025-01-02 08:00:00,8.390245,3.3675173364735684,0.0,44993.36545744998,0.0,44.99336545744998,0.0,3.9889166102646687,5.722352650451951,11.279595402337735,0.0,11.279595402337735
2025-01-02 09:00:00,9.370245,2.387517336473568,0.0,31899.595257449975,0.0,31.899595257449974,0.0,4.324225059608789,5.5251078503837725,7.37695074093482,0.0,7.37695074093482
2025-01-02 10:00:00,9.290245,2.467517336473568,0.0,32968.47445744998,0.0,32.96847445744998,0.0,4.293276597940758,5.540927372832669,7.679093975278251,0.0,7.679093975278251
2025-01-02 11:00:00,8.910245,2.847517336473569,0.0,38045.65065744999,0.0,38.04565065744999,0.0,4.155451787223969,5.616751329885806,9.155599103428948,0.0,9.155599103428948
2025-01-02 12:00:00,8.280246,3.4775163364735686,0.0,46463.060996459986,0.0,46.46306099645999,0.0,3.95659167415851,5.744966775518483,11.743203449555299,0.0,11.743203449555299
2025-01-02 13:00:00,7.670245,4.087517336473568,0.0,54613.27825744998,0.0,54.61327825744998,0.0,3.793105529262995,5.8721421086552175,14.398038186947412,0.0,14.398038186947412
2025-01-02 14:00:00,7.2802453,4.477517036473569,0.0,59824.060349152984,0.0,59.82406034915299,0.0,3.7006485246059335,5.9550383327673915,16.165831462074177,0.0,16.165831462074177
2025-01-02 15:00:00,7.0102453,4.747517036473568,0.0,63431.52764915298,0.0,63.43152764915298,0.0,3.641200187367489,6.01316253407226,17.42049994098584,0.0,17.42049994098584
2025-01-02 16:00:00,6.5102453,5.247517036473568,0.0,70112.02264915298,0.0,70.11202264915298,0.0,3.5392191049872572,6.12240461256323,19.81002604511127,0.0,19.81002604511127
2025-01-02 17:00:00,5.500245,6.257517336473569,0.0,83606.62655744998,0.0,83.60662655744999,0.0,3.3555629403741785,6.349538838910508,24.915827252558408,0.0,24.915827252558408
2025-01-02 18:00:00,4.5002456,7.257516736473568,0.0,96967.60854085597,0.0,96.96760854085598,0.0,3.1864364129414526,6.5831465401010245,30.431364689102193,0.0,30.431364689102193
2025-01-02 19:00:00,2.9602456,8.797516736473568,0.0,117543.53314085597,0.0,117.54353314085597,0.0,2.88368619772779,6.960432723018296,40.76155485762452,0.0,40.76155485762452
2025-01-02 20:00:00,2.2002454,9.557516936473569,0.0,127697.88821305399,0.0,127.69788821305399,0.0,2.7433153631551286,7.154690477316887,46.54874533498282,0.0,46.54874533498282
2025-01-02 21:00:00,2.0902452,9.667517136473569,0.0,129167.59978525198,0.0,129.16759978525198,0.0,2.726353074937431,7.183257520158562,47.377429201174294,0.0,47.377429201174294
2025-01-02 22:00:00,1.8502454,9.907516936473568,0.0,132374.23471305397,0.0,132.37423471305397,0.0,2.6917675247620765,7.245984815161957,49.177439543095176,0.0,49.177439543095176
2025-01-02 23:00:00,1.7802454,9.977516936473569,0.0,133309.504013054,0.0,133.30950401305398,0.0,2.6822609801744917,7.264383825785199,49.7004225160751,0.0,49.7004225160751
2025-01-03 00:00:00,1.5802454,10.17751693647357,0.0,135981.702013054,0.0,135.981702013054,0.0,2.6564178124684568,7.317211172375701,51.189877350917925,0.0,51.189877350917925
